Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"AGK2","2039","SH-4","909713","SKCM","skin","melanoma","4.088154327551246",".96639218162236817","4",".035749549732987024",".89278483749367799","GDSC2"
"AGK2","2039","SK-MEL-1","909723","SKCM","skin","melanoma","4.9205218594866782",".97869316862689615","4",".022252199305203758","1.7934429942182206","GDSC2"
"AGK2","2039","SK-MEL-3","909724","SKCM","skin","melanoma","3.8613374670898022",".97163036497584643","4",".079229396178609982",".64735905186476628","GDSC2"
"AGK2","2039","SK-MEL-24","909725","SKCM","skin","melanoma","4.7691057138680248",".97198831350546155","4",".1155407110658468","1.6296040872703101","GDSC2"
"AGK2","2039","SK-MEL-31","909727","SKCM","skin","melanoma","4.4801278419806261",".96938048735690285","4",".082560730800366175","1.3169173624252148","GDSC2"
"AGK2","2039","WM-115","909784","SKCM","skin","melanoma","5.2959916743032522",".9778709587096206","4",".069978132644876623","2.1997177927222946","GDSC2"
"AGK2","2039","CHL-1","910853","SKCM","skin","melanoma","2.2191600738889194",".9155931026174654","4",".14080828262710493","-1.1295488730947005","GDSC2"
"AGK2","2039","RPMI-7951","910903","SKCM","skin","melanoma","4.2037277520555723",".9856888606197246","4",".055445726482060594","1.0178403490155812","GDSC2"
"AGK2","2039","A101D","910921","SKCM","skin","melanoma","4.1690443510562289",".96861519332575496","4",".057738571718856171",".98031138877325663","GDSC2"
"AGK2","2039","GAK","910932","SKCM","skin","melanoma","2.832712356228726",".95055652016279213","4",".14905365810752252","-.46565840828837718","GDSC2"
"AGK2","2039","MMAc-SF","925339","SKCM","skin","melanoma","3.1797531615192884",".94855645340112249","4",".067917560663458068","-.090145044288680767","GDSC2"
"AGK2","2039","VMRC-MELG","930301","SKCM","skin","melanoma",".77115868774051666",".79364790488048897","4",".20614711495493429","-2.6963498466388827","GDSC2"
"AGK2","2039","MZ2-MEL","971777","SKCM","skin","melanoma","3.279569207521416",".95979346363810769","4",".057558667637662209",".017860292962727117","GDSC2"
"AGK2","2039","COLO-783","1240125","SKCM","skin","melanoma","3.1321787699424926",".95195744572778096","4",".18185968550287734","-.14162262141764112","GDSC2"
"AGK2","2039","G-MEL","1240130","SKCM","skin","melanoma","2.1296837382604732",".95071157813726026","4",".061119661933786866","-1.2263661904763621","GDSC2"
"AGK2","2039","IGR-37","1240153","SKCM","skin","melanoma","3.1311684139877469",".96273789120336284","4",".078547260784024672","-.14271587085004145","GDSC2"
"AGK2","2039","WM278","1240226","SKCM","skin","melanoma","5.6176700387210552",".97802643264283751","4",".035626170743516775","2.5477878839247206","GDSC2"
"AGK2","2039","451Lu","1287706","SKCM","skin","melanoma","2.7209381546601046",".9423012063554439","4",".086586601228724164","-.58660299405336014","GDSC2"
"AGK2","2039","Hs-939-T","1298144","SKCM","skin","melanoma","3.1135103695766011",".93786686673242536","4",".085982375373112152","-.16182264895048326","GDSC2"
"AGK2","2039","Hs-940-T","1298145","SKCM","skin","melanoma","3.1995807870954085",".94041575982069425","4",".07874417653803914","-.068690684263261192","GDSC2"
"AGK2","2039","K2","1298160","SKCM","skin","melanoma","2.6854941803154619",".9218947238755465","4",".11932784268352906","-.62495492799534158","GDSC2"
"AGK2","2039","WM1552C","1299078","SKCM","skin","melanoma","3.3436658824208996",".95159518399943654","4",".12765293375438849",".087215704907866815","GDSC2"
"AGK2","2039","WM35","1299080","SKCM","skin","melanoma","2.5061118357353549",".92509660548726846","4",".088782502220721982","-.81905448812928794","GDSC2"
"AGK2","2039","WM793B","1299081","SKCM","skin","melanoma","4.8113000859150219",".98287491139814476","4",".064994673078285672","1.6752602474326768","GDSC2"
"Foretinib","2040","COLO-829","687448","SKCM","skin","melanoma","1.0952084153495083",".71184703489528189","10",".1214678085322861",".13483194861319134","GDSC2"
"Foretinib","2040","CP50-MEL-B","753545","SKCM","skin","melanoma",".28985394930300423",".68149671801790013","10",".085365054963252807","-.456777393413071","GDSC2"
"Foretinib","2040","CP66-MEL","753546","SKCM","skin","melanoma","4.5493193753274346",".950028314450586","10",".059195412011228743","2.6722044950767807","GDSC2"
"Foretinib","2040","LB2518-MEL","753579","SKCM","skin","melanoma","1.9828493881209377",".84689848962753189","10",".12936177236377205",".7868885448033881","GDSC2"
"Foretinib","2040","LB373-MEL-D","753581","SKCM","skin","melanoma","3.6460284724274534",".9493024490604739","10",".053526968925997405","2.0086515388905188","GDSC2"
"Foretinib","2040","MZ7-mel","753596","SKCM","skin","melanoma",".89097456053051327",".7450936164291122","10",".12628650353823456","-.015197214398833064","GDSC2"
